MUNICIPIO,CODIGO DANE INSTITUCIÓN,ESTABLECIMIENTO EDUCATIVO,CODIGO DANE SEDE,SEDE,VEREDA
CALDAS,115131000172,INSTITUCIÓN EDUCATIVA FRANCISCO JOSE DE CALDAS,215131000070,ESPALDA,ESPALDA
CALDAS,115131000172,INSTITUCIÓN EDUCATIVA FRANCISCO JOSE DE CALDAS,215131000088,TIERRA NEGRA,QUIPE
CALDAS,415131000141,INSTITUCIÓN EDUCATIVA TECNICA AGRICOLA ANTONIO NARIÑO,215131000100,EL PALMAR,PALMAR
CALDAS,415131000141,INSTITUCIÓN EDUCATIVA TECNICA AGRICOLA ANTONIO NARIÑO,215131000096,QUIPE CERRO ALTO,QUIPE CERRO ALTO
CALDAS,415131000141,INSTITUCIÓN EDUCATIVA TECNICA AGRICOLA ANTONIO NARIÑO,215131000126,LAS VUELTAS,VUELTAS
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,415135000324,CENTRO,CORREGIMIENTO LOS CEDROS
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000198,PALMICHAL,PALMICHAL
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000252,CHOMA,CHOMA
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000163,HOYA GRANDE ARRIBA,HOYA GRANDE ARRIBA
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000317,HOYA GRANDE SAN JOSE,HOYA GRANDE SAN JOSE
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000210,TEGUAS,TEGUAS
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000350,SABANETAS,SABANETAS
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000147,LIMON,LIMON
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000180,GUAMAL,GUAMAL
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000236,INSTITUCIÒN EDUCATIVA TECNICA MARIA AUXILIADORA SEDE PRINCIPAL,CORREGIMIENTO LOS CEDROS
CAMPOHERMOSO,215135000236,INSTITUCIÓN EDUCATIVA TECNICA MARIA AUXILIADORA,215135000155,CURAPO,CURAPO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000121,MACANALITO CENTRO,MACANALITO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000091,HUERTA VIEJA ARRIBA,HUERTA VIEJA ARRIBA
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000040,CASTAÑAL,CASTAÑAL
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000074,YOTEGUENGUE,YOTEGUENGUE
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000244,COLOMBIA,COLOMBIA
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000376,AGUALARGA,AGUALARGA
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000384,PUERTO TRIUNFO,PUERTO TRIUNFO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000066,ENCENILLO,ENNILLO
CAMPOHERMOSO,315135000338,INSTITUCIÓN EDUCATIVA NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,215135000058,SAN AGUSTIN,SAN AGUSTIN
